time,Lower,Middle,Upper,Actual
2018-07-04 13:00:00,64.42627,69.53194,68.095345,69.53
2018-07-04 14:00:00,65.086075,69.150314,71.69585,68.49
2018-07-04 15:00:00,64.14907,67.92873,70.24092,68.77
2018-07-04 16:00:00,65.32199,69.13522,71.21302,68.75
2018-07-04 17:00:00,64.37374,69.04554,71.24553,67.38
2018-07-04 18:00:00,62.621258,67.02286,68.240524,66.81
2018-07-04 19:00:00,62.25214,67.925064,67.67822,65.39
2018-07-04 20:00:00,57.570843,62.63083,62.616093,68.52
2018-07-04 21:00:00,58.768482,65.422195,67.032974,65.15
2018-07-04 22:00:00,58.691628,62.262215,65.37411,60.79
2018-07-04 23:00:00,52.89307,57.668327,61.195953,56.57
2018-07-05 00:00:00,50.689346,54.000317,57.380566,56.41
2018-07-05 01:00:00,51.689793,55.24881,57.41671,56.76
2018-07-05 02:00:00,54.671688,57.76312,60.707325,56.74
2018-07-05 03:00:00,54.702057,57.896267,60.31202,57.16
2018-07-05 04:00:00,55.86432,59.2282,63.9803,59.93
2018-07-05 05:00:00,58.810204,61.63339,67.698326,62.49
2018-07-05 06:00:00,62.145557,65.69415,68.80424,67.69
2018-07-05 07:00:00,67.068726,69.82314,73.002686,68.68
2018-07-05 08:00:00,67.86568,68.55333,69.293335,69.09
2018-07-05 09:00:00,67.667435,68.6908,69.38765,71.68
2018-07-05 10:00:00,69.17887,71.34226,72.84198,71.34
2018-07-05 11:00:00,68.69845,70.77342,72.190506,70.89
2018-07-05 12:00:00,66.85362,69.690956,70.87214,71.13
2018-07-05 13:00:00,67.79196,69.66027,70.25393,70.93
2018-07-05 14:00:00,67.89787,70.57269,73.31096,70.24
2018-07-05 15:00:00,67.0978,70.032265,73.127426,70.02
2018-07-05 16:00:00,67.338005,70.58479,73.552704,69.93
2018-07-05 17:00:00,68.182556,70.833824,73.99721,68.14
2018-07-05 18:00:00,65.82807,69.2072,73.50743,67.83
2018-07-05 19:00:00,65.32061,69.447716,73.27798,68.5
2018-07-05 20:00:00,61.14482,66.861824,68.70205,69.36
2018-07-05 21:00:00,63.43237,66.72752,69.06234,68.4
2018-07-05 22:00:00,61.854866,66.37048,69.355194,65.59
2018-07-05 23:00:00,58.52448,63.44008,67.126434,62.67
2018-07-06 00:00:00,57.70311,59.70373,62.79757,60.88
2018-07-06 01:00:00,54.584816,59.659317,61.222424,59.79
2018-07-06 02:00:00,58.021755,60.008244,64.11402,59.26
2018-07-06 03:00:00,56.586285,59.11342,64.63254,61.57
2018-07-06 04:00:00,59.978607,64.59258,68.09726,64.43
2018-07-06 05:00:00,62.40476,66.944595,72.22189,64.12
2018-07-06 06:00:00,63.331604,66.40246,70.960655,67.89
2018-07-06 07:00:00,66.61397,70.50529,75.16865,69.09
2018-07-06 08:00:00,67.290504,69.17271,70.00359,69.0
2018-07-06 09:00:00,67.861755,68.33962,70.10211,71.68
2018-07-06 10:00:00,70.80423,71.453766,73.07912,72.22
2018-07-06 11:00:00,70.03834,71.85219,73.83514,72.48
2018-07-06 12:00:00,72.95674,70.483,73.69475,71.59
2018-07-06 13:00:00,68.51881,69.136215,71.81045,70.41
2018-07-06 14:00:00,70.25038,70.62882,72.74679,70.02
2018-07-06 15:00:00,70.62902,70.251144,73.08875,69.88
2018-07-06 16:00:00,70.02927,70.77149,72.62141,69.51
2018-07-06 17:00:00,68.941956,70.22574,72.53135,68.13
2018-07-06 18:00:00,66.96265,69.46799,72.607185,68.26
2018-07-06 19:00:00,70.22074,70.03306,73.05673,68.38
2018-07-06 20:00:00,63.587177,67.04638,68.928955,68.45
2018-07-06 21:00:00,62.849693,66.59845,68.845985,67.22
2018-07-06 22:00:00,61.10921,65.00092,67.40243,65.68
2018-07-06 23:00:00,56.851048,63.440388,66.5081,64.52
2018-07-07 00:00:00,56.597115,61.945988,65.33341,64.82
2018-07-07 01:00:00,57.49591,62.044624,64.86479,65.2
2018-07-07 02:00:00,61.453205,65.51072,68.63959,65.13
2018-07-07 03:00:00,61.545204,65.139015,68.95968,65.24
